epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,657.995,1.7423,2.03661,1.36822,0.56673,0.51847,0.53092,0.27786,1.70928,1.63841,1.37654,0.000333044,0.000333044,0.000333044
2,1097.34,1.70217,1.55438,1.35967,0.58365,0.52335,0.55665,0.28933,1.69479,1.46743,1.38345,0.000653183,0.000653183,0.000653183
3,1521.98,1.68033,1.43152,1.35773,0.59357,0.59734,0.61924,0.31825,1.69469,1.31486,1.39534,0.000960122,0.000960122,0.000960122
4,1975.79,1.67928,1.37049,1.35806,0.64401,0.58816,0.64011,0.34598,1.65718,1.24913,1.37404,0.0009406,0.0009406,0.0009406
5,2406.82,1.64417,1.31073,1.34449,0.63124,0.61709,0.65327,0.35802,1.65061,1.20881,1.37339,0.0009208,0.0009208,0.0009208
6,2824.33,1.63231,1.2717,1.33856,0.64431,0.61493,0.66905,0.37086,1.64155,1.18212,1.35357,0.000901,0.000901,0.000901
7,3239.82,1.61852,1.23912,1.32877,0.67911,0.65609,0.70354,0.39247,1.60452,1.1136,1.33023,0.0008812,0.0008812,0.0008812
8,3657.58,1.61361,1.21645,1.32772,0.70613,0.63712,0.70934,0.39629,1.60747,1.10471,1.32808,0.0008614,0.0008614,0.0008614
9,4083.82,1.60366,1.19673,1.32033,0.70254,0.66555,0.71163,0.39423,1.61342,1.0664,1.34243,0.0008416,0.0008416,0.0008416
10,4499.86,1.59173,1.17576,1.31579,0.69599,0.65041,0.71813,0.39876,1.57445,1.08491,1.32878,0.0008218,0.0008218,0.0008218
11,4949.07,1.58066,1.1617,1.30703,0.70972,0.65895,0.73076,0.41298,1.5755,1.07401,1.32555,0.000802,0.000802,0.000802
12,5404.87,1.56671,1.15453,1.30682,0.71063,0.68443,0.74243,0.42069,1.58131,1.04127,1.32945,0.0007822,0.0007822,0.0007822
13,5868.11,1.57511,1.13771,1.30737,0.7023,0.66611,0.74032,0.42381,1.57337,1.04715,1.32184,0.0007624,0.0007624,0.0007624
14,6305.88,1.562,1.1309,1.30244,0.72675,0.65592,0.73806,0.41766,1.57036,1.02235,1.31407,0.0007426,0.0007426,0.0007426
15,6727.73,1.55323,1.10918,1.29675,0.70049,0.68771,0.75471,0.43359,1.54749,1.01459,1.30264,0.0007228,0.0007228,0.0007228
16,7162.55,1.55912,1.10605,1.29468,0.7232,0.67665,0.74754,0.43112,1.55179,1.00616,1.30939,0.000703,0.000703,0.000703
17,7619.89,1.54707,1.09501,1.28777,0.71855,0.67574,0.74334,0.43427,1.53419,1.00391,1.29317,0.0006832,0.0006832,0.0006832
18,8080.74,1.54931,1.09467,1.2903,0.72619,0.67074,0.75317,0.43943,1.53501,0.98855,1.29497,0.0006634,0.0006634,0.0006634
19,8516.88,1.54532,1.0783,1.2787,0.72496,0.69974,0.76627,0.44274,1.54203,0.98109,1.29548,0.0006436,0.0006436,0.0006436
20,8966.97,1.53715,1.0744,1.27984,0.74242,0.67537,0.76809,0.4475,1.52149,0.97709,1.2763,0.0006238,0.0006238,0.0006238
21,9403.54,1.53136,1.06821,1.27493,0.73568,0.69901,0.774,0.45506,1.52838,0.96877,1.28351,0.000604,0.000604,0.000604
22,9829.71,1.52099,1.05071,1.27515,0.70649,0.71478,0.77145,0.45713,1.50871,0.9563,1.27332,0.0005842,0.0005842,0.0005842
23,10260.1,1.52181,1.05265,1.27352,0.72654,0.71441,0.78075,0.46057,1.51307,0.94751,1.27165,0.0005644,0.0005644,0.0005644
24,10689.2,1.52076,1.04631,1.27356,0.74923,0.70755,0.78532,0.46058,1.52471,0.93697,1.27918,0.0005446,0.0005446,0.0005446
25,11133.6,1.51155,1.04065,1.26893,0.74553,0.69895,0.78002,0.4639,1.50408,0.94116,1.26266,0.0005248,0.0005248,0.0005248
26,11583.3,1.51042,1.03462,1.26797,0.71712,0.73112,0.78324,0.46712,1.49841,0.93399,1.26817,0.000505,0.000505,0.000505
27,12018.5,1.51735,1.02938,1.2677,0.72725,0.72407,0.78808,0.47033,1.49591,0.92928,1.26106,0.0004852,0.0004852,0.0004852
28,12450.8,1.50187,1.01943,1.26291,0.75269,0.71029,0.79555,0.47806,1.48822,0.91659,1.25813,0.0004654,0.0004654,0.0004654
29,12903.3,1.49943,1.01892,1.26072,0.71861,0.72477,0.79239,0.4747,1.49728,0.92404,1.2594,0.0004456,0.0004456,0.0004456
30,13359.4,1.49672,1.00971,1.25733,0.74076,0.71806,0.79256,0.47544,1.4936,0.91249,1.26035,0.0004258,0.0004258,0.0004258
